date,description,event_type,disruption_type,deaths,total_injuries,cancellation,country,city_region,source_s,event_type_agg,disruption_type_agg
2023-03-05,GloRilla concert | crowd crush fatalities,Concert,Crowd-related Incident,2,8,1,United States,New York,"https://www.theguardian.com/music/2023/mar/07/two-people-killed-in-stampede-at-glorilla-concert-in-new-york#:~:text=Two%20people%20have%20died%20and,to%20the%20sound%20of%20gunfire.
https://www.wbrc.com/2023/05/03/report-describes-chaos-glorilla-show-before-stampede/",Concert,Crowd and behavioral incidents
2023-03-31,"Revocation, Skeletal Remains and Morbid Angel concert | roof collapse fatality | Apollo Theatre",Concert,Weather-related Incident,1,48,1,United States,Belvidere,https://www.foxweather.com/weather-news/watch-concert-goers-trapped-after-roof-collapse-in-the-apollo-theatre-ac,Concert,Environmental and external incidents
2023-05-28,Solid Grooves Festival | fatal stabbing,Music festival,Violence - non-terror,1,3,NA,Netherlands,Amsterdam,https://nltimes.nl/2025/01/14/suspects-convicted-fatal-stabbing-2023-amsterdam-festival-solid-grooves,Music festival,Violence and security-related incidents
2023-06-17,Beyond Wonderland festival | shooting,Music festival,Shooting,2,3,0,United States,Grant County,https://edition.cnn.com/2023/06/18/us/gorge-campgrounds-shooting,Music festival,Violence and security-related incidents
2023-08-19,Summer Sonic festival | heat-related medical incidents,Music festival,Weather-related Incident,0,102,0,Japan,Chiba,https://www.japantimes.co.jp/culture/2023/08/25/music/summer-sonic-report/,Music festival,Environmental and external incidents
2023-08-23,Decibel Outdoor festival | spectator fatalities,Music festival,Medical emergency - Spectator,2,0,0,Netherlands,Hilvarenbeek,https://nltimes.nl/2023/08/23/decibel-outdoor-festival-fatalities-one-due-medical-causes-second-still-unclear,Music festival,Medical emergencies
2023-09-10,Air show | plane crash into crowd,Show,Accidental incident (non-structural),2,3,1,Hungary,Székesfehérvár,https://apnews.com/article/hungary-plane-crash-air-show-propeller-0e4de3696d5f7a5f1b30f15df6c9a1df,Other live entertainment,Accidental and technical failures
2023-09-22,Festival performance | performer fatality,Music festival,Medical emergency - Performer,1,0,1,France,Ambronay,https://www.lefigaro.fr/musique/festival-d-ambronay-un-artiste-meurt-sur-scene-en-plein-spectacle-20230923,Music festival,Medical emergencies
2023-10-17,"Belgium vs Sweden match | threat, abandoned",Sports event,Threat or evacuation (no violence),0,0,1,Belgium,Brussels,https://www.bbc.com/sport/football/67050546,Sports event,Crowd and behavioral incidents
2023-10-19,BUCK TICK concert | performer fatality (Atsushi Sakurai),Concert,Medical emergency - Performer,1,0,1,Japan,Yokohama,https://natalie.mu/music/news/546306,Concert,Medical emergencies
2023-10-22,Juankar taken to hospital after being hit by firecracker in abandoned derby,Sports event,Violence - non-terror,0,1,1,Greece,Piraeus,https://www.bbc.com/sport/football/67190534,Sports event,Violence and security-related incidents
2023-10-28,Nottingham Panthers’ vs Sheffield Steelers Ice hockey game | player fatality (Adam Johnson),Sports event,Accidental incident (non-structural),1,0,1,United Kingdom,Sheffield,https://edition.cnn.com/2023/10/29/sport/adam-johnson-ice-hockey-death-spt-intl,Sports event,Accidental and technical failures
2023-11-17,Taylor Swift concert | heat-related spectator death,Concert,Weather-related Incident,1,1000,1,Brazil,Rio de Janeiro,https://www.abc.net.au/news/2023-11-19/fan-dies-at-taylor-swift-concert-during-brazil-heatwave/103122744?utm_source=chatgpt.com,Concert,Environmental and external incidents
2023-11-25,CUSAT University concert | stampede fatalities,Concert,Crowd-related Incident,4,62,1,India,Kochi,https://www.theguardian.com/world/2023/nov/25/four-dead-and-dozens-injured-in-stampede-at-university-in-south-india,Concert,Crowd and behavioral incidents
2023-12-07,Police officer shot with a flare in volleyball riot,Sports event,Violence - non-terror,1,0,1,Greece,Athens,https://apnews.com/article/greece-sports-violence-policeman-volleyball-5244d6db61e4e9888727b0591923a9af,Sports event,Violence and security-related incidents
2023-12-13,Pedro Henrique concert | performer fatality,Concert,Medical emergency - Performer,1,0,1,Brazil,Bahia,https://www.ndtv.com/world-news/brazilian-gospel-singer-pedro-henrique-collapses-onstage-during-live-performance-dies-4681764,Concert,Medical emergencies
2024-03-09,Women’s cross-country ski race drunk fans fighting,Sports event,Violence - non-terror,0,130,0,Norway,Oslo,https://www.theguardian.com/sport/2024/mar/09/womens-cross-country-ski-race-norway-fans-fighting,Sports event,Violence and security-related incidents
2024-06-07,Kevin Moreno concert | structural collapse | RICH nightclub,Concert,Structural or Physical Failure,2,15,1,Mexico,San Luis Potosí,https://www.ndtv.com/world-news/2-killed-as-mexican-nightclubs-glass-balcony-shatters-5858576,Concert,Accidental and technical failures
2024-07-06,Vysočinafest music festival stampede,Music festival,Weather-related Incident,0,17,1,Czech Republic,Jihlava,https://www.idnes.cz/jihlava/zpravy/jihlava-vysocinafest-zraneni-panika-festival.A240707_123656_jihlava-zpravy_sdlk,Music festival,Environmental and external incidents
2024-07-21,Rosenborg and Lillestrom's match was called off after fans protested,Sports event,Violence - non-terror,0,0,1,Norway,Trondheim,https://www.dailymail.co.uk/sport/football/article-13656849/Rosenborgs-clash-Lillestrom-abandoned-four-anti-VAR-protests-inside-30-minutes-fans-throw-flares-fish-cakes-pitch.html,Sports event,Violence and security-related incidents
2024-07-30,"Boiler Room festival | overcrowding, halted",Music festival,Crowd-related Incident,0,5,1,South Korea,Seoul,https://www.koreatimes.co.kr/southkorea/society/20240729/seouls-boiler-room-festival-halted-after5-near-suffocation-incidents-due-to-overcrowding-evokingitaewon-tragedy,Music festival,Crowd and behavioral incidents
2024-08-08,"Taylor Swift concerts | threat, cancelled",Concert,Threat or evacuation (no violence),0,0,1,Austria,Vienna,https://www.nbcnews.com/news/world/taylor-swift-concert-terror-plot-austria-foiled-2-men-arrested-shows-w-rcna165591,Concert,Crowd and behavioral incidents
2024-08-09,Boardmasters festival | crowd surge injuries,Music festival,Crowd-related Incident,0,7,1,United Kingdom,Newquay,https://www.theguardian.com/uk-news/article/2024/aug/10/festival-goers-injured-in-terrifying-crowd-surge-at-boardmasters-in-newquay,Music festival,Crowd and behavioral incidents
2024-08-22,Football match | player fatality,Sports event,Medical emergency - Performer,1,0,NA,Brazil,São Paulo,https://www.theguardian.com/football/article/2024/aug/28/juan-izquierdo-uruguay-footballer-death-aged-27-collapse,Sports event,Medical emergencies
2024-08-23,Music festival | stabbing attack,Music festival,Terrorist Attack,3,8,1,Germany,Solingen,https://www.theguardian.com/world/2025/sep/10/syrian-man-gets-life-imprisonment-for-stabbings-in-german-city-of-solingen,Music festival,Violence and security-related incidents
2024-08-25,Burning Man | attendee death,Music festival,Medical emergency - Spectator,1,0,0,United States,Las Vegas,https://www.theguardian.com/culture/article/2024/aug/26/woman-death-burning-man-investigation,Music festival,Medical emergencies
2024-08-30,Fatman Scoop concert | performer fatality,Concert,Medical emergency - Performer,1,0,1,United States,Hamden,https://www.bbc.com/news/articles/clyn0z93p11o,Concert,Medical emergencies
2024-09-24,Rapid Wien vs Austria Wien derby | riot,Sports event,Violence - non-terror,0,13,0,Austria,Vienna,https://www.bbc.com/sport/football/articles/c78djz66478o,Sports event,Violence and security-related incidents
2024-10-06,Parasite Dejavu Festival | crane accident injuries,Music festival,Structural or Physical Failure,0,4,1,Japan,Osaka,https://newsonjapan.com/article/143738.php?utm_source=chatgpt.com,Music festival,Accidental and technical failures
2024-11-18,Lao Khwan  concert | strong winds and stage collapse,Concert,Weather-related Incident,0,5,1,Thailand,Khon Kaen,https://blumano.com/stage-collapses-during-outdoor-concert-in-thailand/,Concert,Environmental and external incidents
2025-01-18,EDC Thailand festival | attendee fatalities,Music festival,Medical emergency - Spectator,2,0,0,Thailand,Phuket,https://www.iqmagazine.com/2025/01/two-festivalgoers-die-after-edcs-thailand-debut/,Music festival,Medical emergencies
2025-02-19,"Theatre performance | fire, evacuation",Theater play,Fire,0,0,1,France,Paris,https://www.lefigaro.fr/culture/le-theatre-des-champs-elysees-touche-par-un-incendie-en-pleine-representation-les-spectateurs-evacues-20250214,Other live entertainment,Environmental and external incidents
2025-03-26,Melbourne International Comedy Festival | spectator fatality,Show,Medical emergency - Spectator,1,0,1,Australia,Melbourne,https://www.abc.net.au/news/2025-03-27/vic-melbourne-comedy-festival-death/105101092?utm_source=chatgpt.com,Other live entertainment,Medical emergencies
2025-04-05,AXE Ceremonia Festival | structural collapse fatalities,Music festival,Structural or Physical Failure,2,0,1,Mexico,Mexico City,https://www.informador.mx/mexico/Festival-AXE-Ceremonia-Esto-es-lo-que-sabemos-del-colapso-de-la-estructura-20250406-0085.html,Music festival,Accidental and technical failures
2025-04-18,Theatre play | performer fatality (Lucas Garcia) | theatre,Theater play,Medical emergency - Performer,1,0,1,Argentina,Santa Fe,https://www.univision.com/famosos/muere-actor-lucas-garcia-funcion-teatro,Other live entertainment,Medical emergencies
2025-04-22,"Granfondo Belgium | accident, cancelled",Sports event,Accidental incident (non-structural),0,40,1,Belgium,Lacs de l'Eau d'Heure,https://ucigranfondoworldseries.com/en/granfondo-belgium-cancelled-due-to-an-unfortunate-accident/,Sports event,Accidental and technical failures
2025-05-01,British Superbike race | multi rider fatal crash (Owen Jenner and Shane Richardson),Race,Accidental incident (non-structural),2,6,1,United Kingdom,Chesire,https://www.theguardian.com/sport/2025/may/06/police-investigate-two-motorcyclists-deaths-british-superbikes-crash-oulton-park,Race,Accidental and technical failures
2025-06-15,Festi'neuch festival | storm evacuation,Music festival,Weather-related Incident,0,0,1,Switzerland,Neuchâtel,"https://www.rts.ch/info/regions/neuchatel/2025/article/festi-neuch-evacue-les-festivals-face-aux-orages-violents-28916931.html
https://www.myswitzerland.com/cs/zazitky/akce/festineuch/#:~:text=Intro,50'000%20festival%2Dgoers.",Music festival,Environmental and external incidents
2025-07-06,Electric Love Festival | spectator fatality,Music festival,Medical emergency - Spectator,1,0,0,Austria,Salzburg,https://themunicheye.com/tragic-incident-electric-love-festival-claims-young-life-24089,Music festival,Medical emergencies
2025-07-19,Expo Eldorado concert | structural collapse injuries,Concert,Structural or Physical Failure,0,60,1,Brazil,São Paulo,https://agenciabrasil.ebc.com.br/geral/noticia/2025-07/desabamento-de-arquibancada-em-show-no-interior-de-sp-deixa-60-feridos,Concert,Accidental and technical failures
2025-07-24,Esbjerg Festival (Grøn Koncert),Music festival,Weather-related Incident,0,0,1,Denmark,Esbjerg,https://www.reuters.com/business/environment/danish-police-evacuate-music-festival-amid-heavy-rain-2025-07-24/,Music festival,Environmental and external incidents
2025-08-02,Korakuen Hall Boxing Event | boxer fatalities | Korakuen Hall,Sports event,Medical emergency - Performer,2,0,0,Japan,Tokyo,https://www.trtworld.com/article/6c9a9618dc1f,Sports event,Medical emergencies
2025-08-04,Edimburgh Military Tattoo | weather cancellation,Show,Weather-related Incident,0,0,1,United Kingdom,Edimburg,https://www.thenational.scot/news/25361953.edinburgh-tattoo-cancelled-first-time-75-years/,Other live entertainment,Environmental and external incidents
